Country Name,Country Code,Indicator Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Romania,ROU,Adjusted net national income (current US$),1.37E+11,1.67E+11,1.33E+11,1.34E+11,1.45E+11,1.34E+11,1.49E+11,1.58E+11,1.40E+11,1.46E+11
Russian Federation,RUS,Adjusted net national income (current US$),1.04E+12,1.31E+12,9.60E+11,1.22E+12,1.63E+12,1.74E+12,1.81E+12,1.62E+12,1.10E+12,1.02E+12
Rwanda,RWA,Adjusted net national income (current US$),3133261214,3868305004,4337789691,4693570084,5256113994,5886866462,6076202842,6346570731,6468571453,6514180420
South Asia,SAS,Adjusted net national income (current US$),1.32E+12,1.33E+12,1.49E+12,1.80E+12,2.00E+12,2.03E+12,2.09E+12,2.29E+12,2.38E+12,2.54E+12
Saudi Arabia,SAU,Adjusted net national income (current US$),3.28E+11,3.98E+11,3.57E+11,4.25E+11,5.24E+11,5.73E+11,5.84E+11,6.03E+11,5.45E+11,5.40E+11
Senegal,SEN,Adjusted net national income (current US$),10033836970,12005679091,11296382161,11433970261,12460899887,12192050457,12735926936,13145271090,11610853267,12378040277
Singapore,SGP,Adjusted net national income (current US$),1.51E+11,1.56E+11,1.55E+11,2.04E+11,2.32E+11,2.40E+11,2.52E+11,2.57E+11,2.41E+11,2.44E+11
Solomon Islands,SLB,Adjusted net national income (current US$),348524116.9,349788668.8,304929924.3,326300243.9,417824709.9,620441012.1,755035983.3,764457065.6,841785861.6,851887217.3
Sierra Leone,SLE,Adjusted net national income (current US$),1919877364,2298241781,2288565375,2253668297,2454960062,3303344039,4065821134,4135388894,3549312127,2676603250
El Salvador,SLV,Adjusted net national income (current US$),18414972761,19621195833,18673484371,19391224557,21013885248,20972766985,21291820098,21832450904,22547919627,22898883868
Serbia,SRB,Adjusted net national income (current US$),32839313585,39861375411,34933778715,32031218443,37653860116,32455797519,35992048444,35106328588,29276067515,29824738882
Sao Tome and Principe,STP,Adjusted net national income (current US$),129710691.2,157185345.5,148892218.5,154367828.4,167767146.1,143845664.7,171170745.9,197596357.4,155238077.5,151570666.7
Suriname,SUR,Adjusted net national income (current US$),2403094163,2753607273,3146639549,2972777386,2445274467,2878881545,3301262239,3581134701,3543407827,2021390819
Slovak Republic,SVK,Adjusted net national income (current US$),68140440051,80328989026,70465181671,69770992341,74988258587,72779435095,77203885134,78560261019,68034511071,69893915375
Slovenia,SVN,Adjusted net national income (current US$),38710316878,44504532538,39749050066,37800809199,40290468389,35776148312,37209120548,39093058270,32907191260,34362539511
Sweden,SWE,Adjusted net national income (current US$),4.28E+11,4.49E+11,3.65E+11,4.19E+11,4.81E+11,4.64E+11,4.94E+11,4.90E+11,4.24E+11,4.39E+11
Eswatini,SWZ,Adjusted net national income (current US$),3046423131,2837099865,3020072118,3623015950,4155451877,4158528739,4004140374,3802665574,3507464085,3199141166
Seychelles,SYC,Adjusted net national income (current US$),909604785.5,787894986.7,744701262.8,821279040.6,900382219.2,967003127.5,1179305529,1153513333,1153311736,1203939948
Chad,TCD,Adjusted net national income (current US$),5014101916,5763699890,7077678228,8030509051,8631351115,9058550088,9707132070,10552155201,8867233987,7741891673
Togo,TGO,Adjusted net national income (current US$),2196441090,2191752567,2205691806,2154556159,2219425907,2054764810,2295198314,2974401209,2766319981,3020251309
Thailand,THA,Adjusted net national income (current US$),2.11E+11,2.30E+11,2.23E+11,2.70E+11,2.96E+11,3.06E+11,3.17E+11,3.09E+11,3.08E+11,3.09E+11
